Date,Traffic_Source,Device_Type,Country,Page_Visited,Sessions,Users,New_Users,Bounce_Rate,Avg_Session_Duration,Conversions,Revenue,Campaign_Name,Month,Day,Weekday,Year,Conversion_Rate,Revenue_per_Session
2024-01-01,Google Ads,Tablet,Canada,Landing Page,182,165,83,49.05,110,9,342,Email Campaign,January,1,Monday,2024,0.04945054945054945,1.879120879120879
2024-01-01,Facebook Ads,Desktop,UK,Promo Page,179,139,89,29.52,177,14,686,Email Campaign,January,1,Monday,2024,0.0782122905027933,3.8324022346368714
2024-01-01,Instagram Ads,Tablet,Kenya,Checkout Page,240,194,117,39.66,138,29,1363,No Campaign,January,1,Monday,2024,0.12083333333333333,5.679166666666666
2024-01-01,Organic Search,Mobile,USA,Product Page,130,107,79,40.6,318,21,546,SEO Campaign,January,1,Monday,2024,0.16153846153846155,4.2
2024-01-01,Direct,Tablet,Australia,Promo Page,168,158,109,36.22,142,4,156,Email Campaign,January,1,Monday,2024,0.023809523809523808,0.9285714285714286
2024-01-01,Email Marketing,Desktop,Kenya,Checkout Page,343,259,187,34.99,193,6,126,Spring Sale,January,1,Monday,2024,0.01749271137026239,0.3673469387755102
2024-01-01,Referral,Desktop,India,Checkout Page,339,266,197,48.93,251,12,660,No Campaign,January,1,Monday,2024,0.035398230088495575,1.9469026548672566
2024-01-02,Google Ads,Desktop,USA,Promo Page,331,251,137,38.49,171,17,731,SEO Campaign,January,2,Tuesday,2024,0.0513595166163142,2.2084592145015107
2024-01-02,Facebook Ads,Mobile,Australia,Landing Page,459,369,198,32.46,178,9,252,New Product Launch,January,2,Tuesday,2024,0.0196078431372549,0.5490196078431373
2024-01-02,Instagram Ads,Mobile,Australia,Product Page,160,142,97,44.36,130,30,780,Winter Sale,January,2,Tuesday,2024,0.1875,4.875
2024-01-02,Organic Search,Tablet,Canada,Home Page,127,104,67,45.98,261,10,410,New Product Launch,January,2,Tuesday,2024,0.07874015748031496,3.2283464566929134
2024-01-02,Direct,Mobile,India,Product Page,180,169,119,47.49,231,9,414,Spring Sale,January,2,Tuesday,2024,0.05,2.3
2024-01-02,Email Marketing,Desktop,Germany,Blog Page,459,354,162,45.18,141,31,1581,No Campaign,January,2,Tuesday,2024,0.06753812636165578,3.4444444444444446
2024-01-02,Referral,Desktop,Germany,Checkout Page,250,197,144,44.17,175,30,630,Winter Sale,January,2,Tuesday,2024,0.12,2.52
2024-01-03,Google Ads,Mobile,India,Checkout Page,213,179,92,39.25,279,13,611,Winter Sale,January,3,Wednesday,2024,0.06103286384976526,2.868544600938967
2024-01-03,Facebook Ads,Tablet,USA,Checkout Page,464,369,213,50.09,92,9,225,Email Campaign,January,3,Wednesday,2024,0.01939655172413793,0.4849137931034483
2024-01-03,Instagram Ads,Mobile,Australia,Home Page,304,235,129,53.46,207,34,1734,Brand Awareness,January,3,Wednesday,2024,0.1118421052631579,5.703947368421052
2024-01-03,Organic Search,Tablet,USA,Product Page,131,104,68,47.23,190,19,684,Spring Sale,January,3,Wednesday,2024,0.1450381679389313,5.221374045801527
2024-01-03,Direct,Mobile,Australia,Product Page,299,227,121,52.52,236,32,672,Brand Awareness,January,3,Wednesday,2024,0.10702341137123746,2.2474916387959865
2024-01-03,Email Marketing,Mobile,Australia,Product Page,495,429,203,37.98,234,33,1881,Brand Awareness,January,3,Wednesday,2024,0.06666666666666667,3.8
2024-01-03,Referral,Mobile,Canada,Promo Page,474,432,297,32.07,276,8,280,SEO Campaign,January,3,Wednesday,2024,0.016877637130801686,0.5907172995780591
2024-01-04,Google Ads,Tablet,UK,Home Page,499,375,226,34.12,185,9,468,New Product Launch,January,4,Thursday,2024,0.018036072144288578,0.9378757515030061
2024-01-04,Facebook Ads,Mobile,Kenya,Promo Page,230,197,129,34.17,233,28,588,Email Campaign,January,4,Thursday,2024,0.12173913043478261,2.5565217391304347
2024-01-04,Instagram Ads,Tablet,Australia,Checkout Page,116,107,54,35.53,236,18,630,Winter Sale,January,4,Thursday,2024,0.15517241379310345,5.431034482758621
2024-01-04,Organic Search,Desktop,USA,Landing Page,487,448,327,49.2,193,22,1188,Winter Sale,January,4,Thursday,2024,0.045174537987679675,2.439425051334702
2024-01-04,Direct,Mobile,Australia,Home Page,428,345,186,41.11,252,18,990,Brand Awareness,January,4,Thursday,2024,0.04205607476635514,2.3130841121495327
2024-01-04,Email Marketing,Tablet,Canada,Checkout Page,356,279,156,48.09,284,19,988,No Campaign,January,4,Thursday,2024,0.05337078651685393,2.7752808988764044
2024-01-04,Referral,Tablet,UK,Blog Page,101,80,59,38.61,271,10,460,Brand Awareness,January,4,Thursday,2024,0.09900990099009901,4.554455445544554
2024-01-05,Google Ads,Tablet,USA,Home Page,176,152,90,33.27,150,18,684,SEO Campaign,January,5,Friday,2024,0.10227272727272728,3.8863636363636362
2024-01-05,Facebook Ads,Mobile,USA,Checkout Page,299,252,134,51.85,213,11,616,Email Campaign,January,5,Friday,2024,0.03678929765886288,2.060200668896321
2024-01-05,Instagram Ads,Mobile,Canada,Product Page,174,164,115,35.95,302,34,1428,Winter Sale,January,5,Friday,2024,0.19540229885057472,8.206896551724139
2024-01-05,Organic Search,Tablet,UK,Landing Page,302,277,201,29.9,203,34,1394,Spring Sale,January,5,Friday,2024,0.11258278145695365,4.6158940397351
2024-01-05,Direct,Desktop,India,Product Page,465,378,266,31.69,265,9,432,New Product Launch,January,5,Friday,2024,0.01935483870967742,0.9290322580645162
2024-01-05,Email Marketing,Mobile,Kenya,Checkout Page,385,355,257,41.81,146,6,234,SEO Campaign,January,5,Friday,2024,0.015584415584415584,0.6077922077922078
2024-01-05,Referral,Tablet,USA,Product Page,450,367,206,30.54,304,33,1353,No Campaign,January,5,Friday,2024,0.07333333333333333,3.006666666666667
2024-01-06,Google Ads,Tablet,Kenya,Landing Page,269,217,136,28.82,269,12,300,SEO Campaign,January,6,Saturday,2024,0.04460966542750929,1.1152416356877324
2024-01-06,Facebook Ads,Desktop,Germany,Promo Page,180,153,104,33.83,94,9,207,Brand Awareness,January,6,Saturday,2024,0.05,1.15
2024-01-06,Instagram Ads,Tablet,USA,Landing Page,126,112,55,31.58,203,30,1470,SEO Campaign,January,6,Saturday,2024,0.23809523809523808,11.666666666666666
2024-01-06,Organic Search,Mobile,USA,Product Page,137,104,47,53.99,112,33,924,Spring Sale,January,6,Saturday,2024,0.24087591240875914,6.744525547445256
2024-01-06,Direct,Mobile,India,Blog Page,80,67,34,30.53,178,10,200,Brand Awareness,January,6,Saturday,2024,0.125,2.5
2024-01-06,Email Marketing,Desktop,Australia,Blog Page,428,356,186,37.61,318,24,1152,No Campaign,January,6,Saturday,2024,0.056074766355140186,2.691588785046729
2024-01-06,Referral,Tablet,Australia,Home Page,173,159,105,40.8,307,28,1120,Brand Awareness,January,6,Saturday,2024,0.16184971098265896,6.473988439306359
2024-01-07,Google Ads,Desktop,UK,Landing Page,301,264,122,53.63,189,4,200,Spring Sale,January,7,Sunday,2024,0.013289036544850499,0.6644518272425249
2024-01-07,Facebook Ads,Mobile,Australia,Landing Page,175,161,104,32.4,113,18,378,SEO Campaign,January,7,Sunday,2024,0.10285714285714286,2.16
2024-01-07,Instagram Ads,Tablet,USA,Home Page,231,204,126,31.47,278,21,1176,Spring Sale,January,7,Sunday,2024,0.09090909090909091,5.090909090909091
2024-01-07,Organic Search,Tablet,USA,Product Page,122,96,45,30.72,219,31,1674,Email Campaign,January,7,Sunday,2024,0.2540983606557377,13.721311475409836
2024-01-07,Direct,Mobile,Australia,Home Page,489,433,239,35.04,224,6,180,Email Campaign,January,7,Sunday,2024,0.012269938650306749,0.36809815950920244
2024-01-07,Email Marketing,Desktop,USA,Checkout Page,328,281,162,43.35,316,19,1026,Email Campaign,January,7,Sunday,2024,0.057926829268292686,3.1280487804878048
2024-01-07,Referral,Mobile,Kenya,Promo Page,347,290,195,48.37,194,32,1152,Winter Sale,January,7,Sunday,2024,0.09221902017291066,3.319884726224784
2024-01-08,Google Ads,Mobile,India,Promo Page,421,340,163,29.44,278,11,418,Brand Awareness,January,8,Monday,2024,0.026128266033254157,0.9928741092636579
2024-01-08,Facebook Ads,Mobile,Australia,Landing Page,302,283,176,45.06,206,7,378,Email Campaign,January,8,Monday,2024,0.023178807947019868,1.2516556291390728
2024-01-08,Instagram Ads,Desktop,India,Product Page,132,119,81,30.46,131,28,1624,Email Campaign,January,8,Monday,2024,0.21212121212121213,12.303030303030303
2024-01-08,Organic Search,Desktop,Australia,Home Page,242,224,124,31.16,165,11,319,Email Campaign,January,8,Monday,2024,0.045454545454545456,1.3181818181818181
2024-01-08,Direct,Mobile,Germany,Blog Page,309,236,155,29.96,267,29,609,Brand Awareness,January,8,Monday,2024,0.09385113268608414,1.970873786407767
2024-01-08,Email Marketing,Mobile,Germany,Promo Page,418,362,256,51.77,234,33,858,SEO Campaign,January,8,Monday,2024,0.07894736842105263,2.0526315789473686
