Date,Traffic_Source,Device_Type,Country,Page_Visited,Sessions,Users,New_Users,Bounce_Rate,Avg_Session_Duration,Conversions,Revenue,Campaign_Name,Month
01/01/2024,Google Ads,Tablet,Canada,Landing Page,182,165,83,49.05,110,9,342,Email Campaign,Jan
01/01/2024,Facebook Ads,Desktop,UK,Promo Page,179,139,89,29.52,177,14,686,Email Campaign,Jan
01/01/2024,Instagram Ads,Tablet,Kenya,Checkout Page,240,194,117,39.66,138,29,1363,None,Jan
01/01/2024,Organic Search,Mobile,USA,Product Page,130,107,79,40.6,318,21,546,SEO Campaign,Jan
01/01/2024,Direct,Tablet,Australia,Promo Page,168,158,109,36.22,142,4,156,Email Campaign,Jan
01/01/2024,Email Marketing,Desktop,Kenya,Checkout Page,343,259,187,34.99,193,6,126,Spring Sale,Jan
01/01/2024,Referral,Desktop,India,Checkout Page,339,266,197,48.93,251,12,660,None,Jan
02/01/2024,Google Ads,Desktop,USA,Promo Page,331,251,137,38.49,171,17,731,SEO Campaign,Jan
02/01/2024,Facebook Ads,Mobile,Australia,Landing Page,459,369,198,32.46,178,9,252,New Product Launch,Jan
02/01/2024,Instagram Ads,Mobile,Australia,Product Page,160,142,97,44.36,130,30,780,Winter Sale,Jan
02/01/2024,Organic Search,Tablet,Canada,Home Page,127,104,67,45.98,261,10,410,New Product Launch,Jan
02/01/2024,Direct,Mobile,India,Product Page,180,169,119,47.49,231,9,414,Spring Sale,Jan
02/01/2024,Email Marketing,Desktop,Germany,Blog Page,459,354,162,45.18,141,31,1581,None,Jan
02/01/2024,Referral,Desktop,Germany,Checkout Page,250,197,144,44.17,175,30,630,Winter Sale,Jan
03/01/2024,Google Ads,Mobile,India,Checkout Page,213,179,92,39.25,279,13,611,Winter Sale,Jan
03/01/2024,Facebook Ads,Tablet,USA,Checkout Page,464,369,213,50.09,92,9,225,Email Campaign,Jan
03/01/2024,Instagram Ads,Mobile,Australia,Home Page,304,235,129,53.46,207,34,1734,Brand Awareness,Jan
03/01/2024,Organic Search,Tablet,USA,Product Page,131,104,68,47.23,190,19,684,Spring Sale,Jan
03/01/2024,Direct,Mobile,Australia,Product Page,299,227,121,52.52,236,32,672,Brand Awareness,Jan
03/01/2024,Email Marketing,Mobile,Australia,Product Page,495,429,203,37.98,234,33,1881,Brand Awareness,Jan
03/01/2024,Referral,Mobile,Canada,Promo Page,474,432,297,32.07,276,8,280,SEO Campaign,Jan
